Subject,图片路径,图片描述,图片来源,是否成功,Error
女皇镇单选区 Queenstown SMC,/home/ubuntu/singapore_book/images/queenstown.jpg,这张黑白照片展示了新加坡女皇镇早期组屋的建设场景，是该地区发展历史的代表性画面。,https://www.roots.gov.sg/api/media/0efafcf7-52c3-43ae-b599-216c04d0f8df/building-works-at-queenstown.jpg,,
丹戎巴葛集选区 Tanjong Pagar GRC,/home/ubuntu/singapore_book/images/tanjong_pagar.jpg,丹戎巴葛集选区一栋具有代表性的旧组屋，展现了该区域的居住特色。,https://medium.com/@jethroyong/is-living-in-an-old-flat-at-tanjong-pagar-still-worth-it-99122312123,,
惹兰勿刹集选区 Jalan Besar GRC,/home/ubuntu/singapore_book/images/jalan_besar_grc.jpg,惹兰勿刹集选区色彩斑斓的传统店屋街景。,https://www.expedia.com/Jalan-Besar.dx6199677,,
碧山-大巴窑集选区 Bishan-Toa Payoh GRC,/home/ubuntu/singapore_book/images/bishan_toa_payoh_grc.jpg,碧山-大巴窑集选区的高楼全景。,https://www.bistp-tc.org.sg/images/bishan-toa-payoh-town-council.jpg,,
玛丽蒙单选区 Marymount SMC,/home/ubuntu/singapore_book/images/marymount_smc.jpg,新加坡玛丽蒙单选区的住宅区全景。,https://www.btptc.org.sg,,
波东巴西单选区 Potong Pasir SMC,/home/ubuntu/singapore_book/images/potong_pasir_smc.jpg,波东巴西单选区独特的组屋建筑群，以其倾斜的屋顶设计而闻名。,https://remembersingapore.org,,
拉丁马士单选区 Radin Mas SMC,/home/ubuntu/singapore_book/images/radin_mas.jpg,这是新加坡拉丁马士单选区的社区俱乐部，是该区域的标志性建筑。,https://radin-mas-community-club.wheree.com,true,
锦茂单选区 Kebun Baru SMC,/home/ubuntu/singapore_book/images/kebun_baru_smc.jpg,新加坡锦茂单选区（Kebun Baru SMC）的邻里购物中心。,https://www.hdb.gov.sg,,
东海岸集选区 East Coast GRC,/home/ubuntu/singapore_book/images/east_coast_grc.jpg,东海岸集选区一景，展示了组屋和高架列车轨道。,https://www.straitstimes.com/singapore/politics/joo-chiat-hived-off-from-marine-parade-absorbed-into-east-coast-grc,,
马林百列-勿拉德高地集选区 Marine Parade-Braddell Heights GRC,/home/ubuntu/singapore_book/images/marine_parade_braddell_heights_grc.jpg,这是新加坡马林百列-勿拉德高地集选区的一个概览。,https://www.linkedin.com/pulse/election-spotlight-marine-parade-braddell-heights-grc-yw7he,,
阿裕尼集选区 Aljunied GRC,/home/ubuntu/singapore_book/images/aljunied_grc.jpg,阿裕尼集选区一景，展示了新加坡典型的组屋建筑和郁郁葱葱的绿化。,https://www.propertyguru.com.sg/singapore-property-resources/the-ultimate-guide-to-aljunied-things-to-do-eat-see-11234,true,
蒙巴登单选区 Mountbatten SMC,/home/ubuntu/singapore_book/images/mountbatten_smc.png,蒙巴登组屋区，展示了新加坡的公共住房景观。,https://mothership.sg/,true,
白沙-樟宜集选区 Pasir Ris-Changi GRC,/home/ubuntu/singapore_book/images/pasir_ris-changi_grc.jpg,新加坡白沙-樟宜集选区的组屋住宅区，展示了该区域的典型景观。,https://www.google.com/search?q=Pasir+Ris-Changi+GRC+Singapore+HDB&tbm=isch,true,
淡滨尼集选区 Tampines GRC,/home/ubuntu/singapore_book/images/tampines_grc.jpg,新加坡淡滨尼集选区的高层组屋住宅区，展示了该区域的典型住宅景观。,https://www.hdb.gov.sg,true,
淡滨尼尚育单选区 Tampines Changkat SMC,/home/ubuntu/singapore_book/images/tampines_changkat_smc.jpg,淡滨尼尚育单选区的一处组屋街景，展示了新加坡典型的住宅建筑。,https://www.srx.com.sg/hdb/tampines-street-11/11011,,
三巴旺集选区 Sembawang GRC,/home/ubuntu/singapore_book/images/sembawang_grc.jpg,新加坡三巴旺集选区的组屋，色彩鲜艳，充满活力。,https://www.google.com/search?q=Sembawang+GRC+Singapore+HDB&tbm=isch,true,
三巴旺西单选区 Sembawang West SMC,/home/ubuntu/singapore_book/images/sembawang_west.jpg,三巴旺西单选区的组屋全景，展现了新加坡的住宅特色。,,true,
义顺集选区 Nee Soon GRC,/home/ubuntu/singapore_book/images/nee_soon_grc.jpg,这是新加坡义顺邮政局的旧址，代表了义顺集选区的历史风貌。,https://remembersingapore.org/2012/07/10/singapore-former-old-post-offices/,,
马西岭-油池集选区 Marsiling-Yew Tee GRC,/home/ubuntu/singapore_book/images/marsiling_yew_tee_grc.png,马西岭-油池集选区的住宅区和绿化环境。,https://www.myttc.org.sg/,,
杨厝港单选区 Yio Chu Kang SMC,/home/ubuntu/singapore_book/images/yio_chu_kang.jpg,这是新加坡杨厝港游泳综合体的建筑外观。,https://www.estate.sg/,true,
惹兰加由单选区 Jalan Kayu SMC,/home/ubuntu/singapore_book/images/jalan_kayu.jpg,惹兰加由单选区的城市景观，展示了高楼建筑和绿化带。,https://www.channelnewsasia.com,,
宏茂桥集选区 Ang Mo Kio GRC,/home/ubuntu/singapore_book/images/ang_mo_kio.jpg,宏茂桥集选区的一栋组屋，代表了新加坡的公共住房特色。,https://www.hdb.gov.sg/,,
盛港集选区 Sengkang GRC,/home/ubuntu/singapore_book/images/sengkang_grc.jpeg,盛港集选区的高层组屋住宅区。,https://www.channelnewsasia.com/news/singapore/sengkang-town-council-lower-rating-arrears-management-13970790,,
榜鹅集选区 Punggol GRC,/home/ubuntu/singapore_book/images/punggol_grc.jpg,榜鹅集选区的一栋组屋，展示了新加坡的公共住房特色。,https://www.schomburg.com,,
后港单选区 Hougang SMC,/home/ubuntu/singapore_book/images/hougang_smc.jpg,这张图片展示了新加坡后港单选区的一个现代组屋区，环境优美，绿化良好。,https://www.hdb.gov.sg,,
荷兰-武吉知马集选区 Holland-Bukit Timah GRC,/home/ubuntu/singapore_book/images/holland_bukit_timah_grc.jpg,一幅描绘了公园景观和组屋的插画，代表了荷兰-武吉知马集选区的社区生活。,https://www.hbptc.org.sg,true,
裕廊东-武吉巴督集选区 Jurong East-Bukit Batok GRC,/home/ubuntu/singapore_book/images/jurong_east_bukit_batok.jpeg,裕廊东-武吉巴督集选区的一个现代化建筑群，可能是组屋或公共设施。,https://www.ourneighbourhood.sg/stories/bukit-batok-east-s-five-year-masterplan-showcases-a-rejuvenated-estate,,
西海岸-裕廊西集选区 West Coast-Jurong West GRC,/home/ubuntu/singapore_book/images/west_coast_jurong_west_grc.jpg,这张图片展示了裕廊西的标志性建筑，双塔宝塔，它坐落在湖中，周围绿树环绕。,https://www.tripadvisor.in/Attractions-g294265-Activities-c47-zfn15622360-Singapore.html,,
蔡厝港集选区 Chua Chu Kang GRC,/home/ubuntu/singapore_book/images/chua_chu_kang_grc.jpg,蔡厝港市镇中心。,https://www.google.com/search?q=Choa+Chu+Kang+Town+Centre+Singapore,true,
武吉甘柏单选区 Bukit Gombak SMC,/home/ubuntu/singapore_book/images/bukit_gombak_smc.jpg,这是新加坡武吉甘柏邻里中心的标志牌，展示了该区域的特色。,N/A,,
武吉班让单选区 Bukit Panjang SMC,/home/ubuntu/singapore_book/images/bukit_panjang_smc.jpg,武吉班让单选区，拥有自然步道和夜光步道，是新加坡一个充满绿意的住宅区。,https://thesmartlocal.com/read/bukit-panjang-perks/,,
裕廊中单选区 Jurong Central SMC,/home/ubuntu/singapore_book/images/jurong_central.jpg,裕廊西中央1号的组屋建筑，代表了裕廊中单选区的住宅特色。,https://www.srx.com.sg/hdb/jurong-west/jurong-west-central-1-hsjur0053/last-transacted-prices/sale/hdb-executive,,
先驱单选区 Pioneer SMC,/home/ubuntu/singapore_book/images/pioneer_smc.jpg,新加坡先驱单选区的先驱购物中心。,,true,
